Timestamp,UTM_EASTING,UTM_NORTHING,H:CGVD2013(m),Depth
1654144015.822696,664752.2090362242,5564457.842446428,21.467167304039,3.9
1654144016.830599,664752.6007726013,5564459.294771766,21.475882858276368,3.8
1654144017.838457,664752.9896598926,5564460.767280483,21.409758630275725,3.8
1654144018.846419,664753.3479696512,5564462.247958521,21.366717904567718,3.8
1654144019.838336,664753.6844357075,5564463.697627981,21.363578288316727,3.9
1654144020.846205,664754.0144299199,5564465.149118175,21.344287590026855,3.8
1654144021.854117,664754.3655876215,5564466.605853004,21.334526429891586,3.8
1654144022.846027,664754.7153782726,5564468.021165993,21.39771986556053,3.9
1654144023.854094,664755.0731840802,5564469.443716528,21.39335905981064,3.9
1654144024.878402,664755.4107238381,5564470.908431491,21.38333917617798,3.8
1654144025.886775,664755.77692609,5564472.3149895305,21.372064499855043,3.8
1654144026.879086,664756.1260184365,5564473.7079454325,21.349001774072647,3.8
1654144027.886849,664756.4461744707,5564475.13417588,21.359515755414964,3.8
1654144028.878603,664756.7734115549,5564476.527768241,21.348987133741378,3.8
1654144029.886337,664757.1254863126,5564477.931734666,21.397134066581728,3.8
1654144030.894172,664757.4625102436,5564479.339080292,21.417479140281678,3.8
1654144031.901837,664757.8277346613,5564480.747548021,21.41296979188919,3.7
1654144032.909329,664758.1858080124,5564482.153467371,21.400031947135925,3.8
1654144033.916828,664758.5636848467,5564483.54738104,21.41197559070587,3.7
1654144034.908361,664758.9422486024,5564484.922315557,21.428632781028746,3.7
1654144035.915801,664759.3226263173,5564486.329697339,21.40670320415497,3.7
1654144036.923338,664759.7084083888,5564487.726292986,21.410800013780594,3.7
1654144037.914779,664760.0819876726,5564489.088834317,21.41339823150635,3.7
1654144038.922397,664760.4346214395,5564490.494250814,21.421864793777466,3.8
1654144039.929933,664760.7848871405,5564491.888004841,21.422558393478393,3.7
1654144040.921658,664761.1232810151,5564493.268304662,21.4469065284729,3.7
1654144041.929309,664761.4699775261,5564494.670134961,21.462725486516952,3.7
1654144042.936925,664761.8441639076,5564496.049629267,21.485424600601196,3.6
1654144043.944673,664762.2118958555,5564497.456049696,21.476864019155503,3.7
1654144044.952445,664762.610333822,5564498.816841727,21.48101398444176,3.6
1654144045.944066,664762.9928574454,5564500.184265505,21.451989452838898,3.6
1654144046.951788,664763.3686488472,5564501.555990861,21.474923575878144,3.6
1654144047.959334,664763.7528068688,5564502.932377026,21.477367993354797,3.7
1654144048.966415,664764.120714561,5564504.316036082,21.4649764149189,3.7
1654144049.957823,664764.4688739575,5564505.663334141,21.466643539428713,3.7
1654144050.965089,664764.8264544861,5564507.04955815,21.445800712585452,3.6
1654144051.956332,664765.1821034272,5564508.392112468,21.454,3.6
1654144052.963646,664765.5523981923,5564509.759287884,21.454448019266128,3.7
1654144053.971443,664765.9463775877,5564511.117246098,21.43696288585663,3.7
1654144054.97916,664766.3386016915,5564512.477797518,21.439054199695587,3.6
1654144055.971018,664766.7223724548,5564513.8142293515,21.433544433593752,3.6
1654144056.978752,664767.132768244,5564515.1559693655,21.457898766994475,3.7
1654144057.986629,664767.5298633984,5564516.484854325,21.467064049005508,3.7
1654144058.978332,664767.9232405031,5564517.792914141,21.447813312530517,3.6
1654144059.986321,664768.3085137388,5564519.104827553,21.46398528385162,3.6
1654144060.994112,664768.6743148627,5564520.410246018,21.50588486385346,3.6
1654144061.985885,664769.0396839954,5564521.699649952,21.47811522293091,3.6
1654144062.993743,664769.3932492638,5564523.005602621,21.487925141334532,3.5
1654144064.001601,664769.7808232186,5564524.286009566,21.452941995143888,3.6
1654144065.009504,664770.1714514468,5564525.540965543,21.446921983718873,3.7
1654144066.017409,664770.557612967,5564526.795206356,21.446780727386475,3.6
1654144067.009339,664770.9539149241,5564528.035814392,21.432961321830753,3.5
1654144068.017278,664771.3879728747,5564529.2462900635,21.411491003036495,3.6
1654144069.009199,664771.7754576794,5564530.471174322,21.448961602210996,3.6
1654144070.017076,664772.1343883385,5564531.72421612,21.451810467958452,3.6
1654144071.024926,664772.5214323485,5564532.941773431,21.415803296566008,3.6
1654144072.016922,664772.879977317,5564534.159719458,21.426942269563675,3.6
1654144073.024795,664773.1994924701,5564535.383631366,21.49503479504585,3.5
1654144074.032582,664773.5796298038,5564536.577238962,21.50465934371948,3.6
1654144075.024435,664773.9449581801,5564537.782225899,21.49382782483101,3.6
1654144076.048251,664774.3173130165,5564538.997762256,21.500951483726503,3.6
1654144077.056137,664774.7041699236,5564540.211684867,21.474404766321182,3.7
1654144078.063945,664775.0849603637,5564541.416633318,21.441257065773012,3.6
1654144079.055788,664775.4481744764,5564542.595429898,21.493618451356888,3.6
1654144080.063992,664775.828219624,5564543.754691967,21.438183872222897,3.6
1654144081.056924,664776.1775616569,5564544.9400405735,21.447539254188538,3.7
1654144082.065216,664776.5210097118,5564546.115472699,21.487376080274583,3.7
1654144083.073068,664776.8744763111,5564547.297282085,21.499750796318054,3.6
1654144084.064864,664777.2180970598,5564548.44559504,21.509727313518525,3.7
1654144085.072674,664777.5432300153,5564549.639256578,21.488925237655643,3.6
1654144086.080525,664777.8963414148,5564550.826366593,21.45399577403068,3.6
1654144087.088331,664778.2423423644,5564551.978501595,21.490328373432163,3.6
1654144088.09615,664778.5851015851,5564553.159798093,21.447273798942565,3.5
1654144089.087897,664778.9194178479,5564554.302590023,21.464587382316587,3.6
1654144090.095626,664779.2655614421,5564555.450829151,21.486732486724854,3.6
1654144091.103407,664779.6261613739,5564556.614710724,21.450701103448864,3.5
1654144092.095149,664779.954736958,5564557.763701006,21.476315447092055,3.6
1654144093.102893,664780.2957066105,5564558.8960801205,21.502403458595275,3.5
1654144094.110599,664780.5982274235,5564560.083719521,21.47043221259117,3.6
1654144095.102424,664780.907693442,5564561.235427724,21.425585749626162,3.5
1654144096.110245,664781.2202065053,5564562.379848104,21.455803674697876,3.5
1654144097.117775,664781.4842685477,5564563.573575141,21.478766649723056,3.5
1654144098.10939,664781.8113468072,5564564.678855243,21.49,3.5
1654144099.117055,664782.1179722329,5564565.848158168,21.505713011264795,3.5
1654144100.124841,664782.4220916535,5564566.979680594,21.472,3.5
1654144101.13263,664782.7315460822,5564568.172004831,21.473714739799505,3.6
1654144102.124437,664783.0396985423,5564569.260350926,21.464806622505186,3.6
1654144103.132117,664783.3399516859,5564570.400340571,21.46484752130508,3.5
1654144104.14003,664783.6279930095,5564571.546528045,21.489,3.5
1654144105.131927,664783.892177713,5564572.645703559,21.486425781011583,3.6
1654144106.13979,664784.1725854966,5564573.75347792,21.492850209951403,3.4
1654144107.147516,664784.4257663143,5564574.8773595,21.48257516002655,3.5
1654144108.139432,664784.6907202047,5564575.955399287,21.515459656953812,3.4
1654144109.147467,664784.9635561542,5564577.087908399,21.47557466888428,3.5
1654144110.155263,664785.2278766731,5564578.157634076,21.488991577625274,3.6
1654144111.163085,664785.5298483889,5564579.282864316,21.517365215539932,3.4
1654144112.154866,664785.802995445,5564580.337257929,21.48902160835266,3.4
1654144113.16261,664786.0898332404,5564581.396944529,21.473619119644162,3.5
1654144114.170381,664786.3749649045,5564582.491298532,21.436870288610457,3.4
1654144115.178206,664786.6378591466,5564583.544940724,21.466516942977904,3.4
1654144116.185836,664786.9154873841,5564584.61521538,21.5075875082016,3.4
1654144117.177641,664787.1793925895,5564585.663322724,21.511375281810764,3.4
1654144118.185319,664787.4327548372,5564586.729509016,21.534312345504762,3.5
1654144119.193067,664787.7077491557,5564587.772005454,21.492593865871427,3.5
1654144120.184827,664787.9642978016,5564588.811628962,21.487389654159546,3.4
1654144121.192722,664788.2174510055,5564589.84866713,21.483824498653412,3.5
